Work,Author,Page Number
Sunflower Sutra,vii,2585
To Aunt Rose,vii,2587
On Burroughs’ Work,vii,2588
Ego Confession,vii,2589
FRANK O'HARA (1926-1966),vii,2590
To the Harbormaster,vii,2591
Why | Am Not a Painter,vii,2592
A Step Away from Them,vii,2593
The Day Lady Died,vii,2594
A True Account of Talking to the Sun at Fire Island,vii,2595
GALWAY KINNELL (b. 1927),vii,2597
The Porcupine,vii,2598
Blackberry Eating,vii,2600
After Making Love We Hear Footsteps,vii,2601
Cemetery Angels,vii,2601
Neverland,vii,2602
JOHN ASHBERY (b. 1927),vii,2603
Illustration,vii,2605
Soonest Mended,vii,2606
Self-Portrait in a Convex Mirror,vii,2608
Myrtle,vii,2619
W. S. MERWIN (b. 1927),vii,2620
The Drunk in the Furnace,vii,2621
For the Anniversary of My Death,vii,2622
For a Coming Extinction,vii,2622
Losing a Language,vii,2623
Lament for the Makers,vii,2624
Ceremony after an Amputation,vii,2630
JAMES WRIGHT (1927-1980),vii,2631
"Autumn Begins in Martins Ferry, Ohio",vii,2633
To the Evening Star: Central Minnesota,vii,2633
A Blessing,vii,2633
"Rebellion in Minnesota, 1862",vii,2634
With the Shell of a Hermit Crab,vii,2635
PHILIP LEVINE (b. 1928),vii,2636
Animals Are Passing from Our Lives,vii,2637
Detroit Grease Shop Poem,vii,2638
Starlight,vii,2639
Fear and Fame,vii,2639
The Simple Truth,vii,2640
ANNE SEXTON (1928-1974),vii,2641
The Truth the Dead Know,vii,2642
The Starry Night,vii,2642
Sylvia's Death,vii,2643
"Little Girl, My String Bean, My Lovely Woman",vii,2645
The Death of the Fathers,vii,2647
2. How We Danced,vii,2647
3. The Boat,vii,2648
ADRIENNE RICH (b. 1929),vii,2649
Snapshots of a Daughter-in-Law,vii,2651
"“LAm in Danger—Sir—""",vii,2654
A Nalediction Forbidding Mourning,vii,2655
Diving into the Wreck,vii,2656
Power,vii,2658
Transcendental Etude,vii,2658
Shattered Head,vii,2662
"Five O'clock, January 2003",vii,2663
Wait,vii,2664
URSULA K. LE GUIN (b. 1929),vii,2664
Schrédinger's Cat,vii,2665
She Unnames Them,vii,2671
GARY SNYDER (b. 1930),vii,2672
Milton by Firelight,vii,2674
Riprap,vii,2675
"August on Sourdough, A Visit from Dick Brewer",vii,2675
Beneath My Hand and Eye the Distant Hills. Your Body,vii,2676
Straight-Creck—Great Burn,vii,2677
Ripples on the Surface,vii,2678
"Falling from a Height, Holding Hands",vii,2679
DONALD BARTHELME (1931-1989),vii,2679
The Balloon,vii,2680
TONI MORRISON (b. 1931),vii,2684
Recitatif,vii,2685
SYLVIA PLATH (1932-1963),vii,2698
Morning Song,vii,2700
Lady Lazarus,vii,2701
Ariel,vii,2703
Daddy,vii,2704
Words,vii,2706
Blackberrying,vii,2707
Purdah,vii,2708
The Applicant,vii,2709
Child,vii,2710
JOHN UPDIKE (b. 1932),vii,2711
Separating,vii,2713
PHILIP ROTH (b. 1933),vii,2720
Defender of the Faith,vii,2722
AMIRI BARAKA (LEROI JONES) (b. 1934),vii,2743
Dutchman,vii,2745
An Agony. As Now.,vii,2758
A Poem for Willie Best,vii,2759
"Will They Cry When You're Gone, You Bet",vii,2764
N. SCOTT MOMADAY (b. 1934),vii,2764
The Way to Rainy Mountain,vii,2766
Headwaters,vii,2766
Introduction,vii,2766
Iv,vii,2770
NU,vii,2771
XVII,vii,2771
XXIV,vii,2772
Epilogue,vii,2773
Rainy Mountain Cemetery,vii,2775
GERALD VIZENOR (b. 193-4),vii,2775
Almost Browne,vii,2776
AUDRE LORDE (1934-1992),vii,2781
Coal,vii,2782
The Woman Thing,vii,2783
Black Mother Woman,vii,2784
CHARLES WRIGHT (b. 1935),vii,2784
Him,vii,2786
Two Stories,vii,2786
A Journal of the Year of the Ox,vii,2788
12 December 1985,vii,2788
Poem Half in the Manner of Li Ho,vii,2789
Star Turn II,vii,2790
North American Bear,vii,2790
MARY OLIVER (b. 1935),vii,2792
The Black Snake,vii,2794
In Blackwater Woods,vii,2794
A Visitor,vii,2795
Poppies,vii,2796
Hummingbird Pauses at the Trumpet Vine,vii,2797
Alligator Poem,vii,2798
LUCILLE CLIFTON (b. 1936),vii,2799
miss rosie,vii,2801
the lost baby poem,vii,2801
homage to my hips,vii,2802
wild blessings,vii,2802
wishes for sons,vii,2802
blessing the boats,vii,2803
final note to clark,vii,2803
"note, passed to superman",vii,2804
the mississippi river empties into the gulf,vii,2804
moonchild,vii,2805
[oh antic god],vii,2805
RUDOLFOA. ANAYA (b. 1937),vii,2806
"Bless Me, Ultima",vii,2807
Dos,vii,2807
THOMAS PYNCHON (b. 1937),vii,2816
Entropy,vii,2817
RAYMOND CARVER (1938-1988),vii,2827
Cathedral,vii,2828
ISHMAEL REED (b. 1938),vii,2838
The Last Days of Louisiana Red,vii,2840
Chapter 36 [Mary Dalton's Dream],vii,2840
Neo-HooDoo Manifesto,vii,2844
CHARLES SIMIC (b. 1938),vii,2848
Fork,vii,2850
Prodigy,vii,2850
The Devils,vii,2851
A Book Full of Pictures,vii,2852
Arriving Celebrities,vii,2852
In the Street,vii,2853
Late September,vii,2853
MICHAEL S. HARPER (b. 1938},vii,2854
"Dear John, Dear Coltrane",vii,2855
American History,vii,2857
Deathwatch,vii,2857
Martin’s Blues,vii,2858
"""Bird Lives"": Charles Parker in St. Louis",vii,2859
Nightmare Begins Responsibility,vii,2860
TONI CADE BAMBARA (1939-1995),vii,2861
Medley,vii,2862
MAXINE HONG KINGSTON (b. 1940),vii,2873
Tripmaster Monkey,vii,2874
1. Trippers and Askers,vii,2874
FANNY HOWE (b. 1940),vii,2900
(I'd speak if | wasn't afraid of inhaling],vii,2901
Robeson Street,vii,2901
[A blight was on the oaks],vii,2901
The Nursery,vii,2902
[The baby / was made in a cell],vii,2902
O'Clock,vii,2902
[After this girl was grown],vii,2902
One Crossed Out,vii,2903
[Nobody wants crossed-out girls around],vii,2903
[We moved to be happy],vii,2903
[When I was a child],vii,2904
Some Day,vii,2904
[Come back],vii,2905
From Bewilderment,vii,2905
ROBERT PINSKY (b. 1940),vii,2905
The Figured Wheel,vii,2907
The Street,vii,2908
The Want Bone,vii,2910
Shirt,vii,2910
At Pleasure Bay,vii,2912
SIMON J. ORTIZ (b. 1941},vii,2914
Passing through Little Rock,vii,2915
"Earth and Rain, the Plants & Sun",vii,2916
Vision Shadows,vii,2917
Poems from the Veterans Hospital,vii,2918
Travelling,vii,2918
From From Sand Creek,vii,2919
BILLY COLLINS (b. 1941),vii,2920
Forgetfulness,vii,2921
Osso Buco,vii,2922
"Tuesday, June 4, 1991",vii,2923
"Blind Mice""",vii,2924
The Night House,vii,2925
Litany,vii,2926
MAX APPLE (b. 1941},vii,2927
Bridging,vii,2928
GLORIA ANZALDUA (1942-2004),vii,2935
Consciousness,vii,2936
How to Tame a Wild Tongue,vii,2947
EI sonavabitche,vii,2955
SAM SHEPARD (b. 1943},vii,2959
True West,vii,2960
LOUISE GLUCK (b. 1943),vii,2999
The Drowned Children,vii,3001
Descending Figure,vii,3001
2 The Sick Child,vii,3001
3 For My Sister,vii,3002
Appearances,vii,3002
Vespers,vii,3003
October,vii,3004
ALICE WALKER (b. 1944),vii,3009
Everyday Use,vii,3010
ANNIE DILLARD (b. 1945},vii,3016
Pilgrim at Tinker Creek,vii,3017
Seeing,vii,3017
ANN BEATTIE (b. 1947),vii,3028
Weekend,vii,3029
DAVID MAMET (b. 1947),vii,3040
Glengarry Glen Ross,vii,3042
YUSEF KOMUNYAKAA (b. 1947),vii,3075
Facing It,vii,3076
My Father's Love Letters,vii,3077
"Slam, Dunk, & Hook",vii,3078
Song for My Father,vii,3079
[Sometimes you could be],vii,3079
Nude Interrogation,vii,3079
When Dusk Weighs Daybreak,vii,3080
Jasmine,vii,3081
Nude Study,vii,3082
LESLIE MARMON SILKO (b. 1948),vii,3082
Lullaby,vii,3083
ART SPIEGELMAN (b. 1948),vii,3090
From Maus,vii,3091
JULIA ALVAREZ (b. 1950),vii,3108
iYo!,vii,3108
The Mother,vii,3108
JORIE GRAHAM (b. 1950),vii,3116
The Geese,vii,3118
At Luca Signorelli’s Resurrection of the Body,vii,3119
The Dream of the Unified Field,vii,3122
JOY HARJO (b. 1951),vii,3127
Call It Fear,vii,3128
White Bear,vii,3129
Summer Night,vii,3130
The Flood,vii,3131
When the World As We Knew It Ended—,vii,3133
RITA DOVE (b. 1952},vii,3135
Geometry,vii,3136
Adolescence—I,vii,3136
Adolescence—II,vii,3137
Adolescence—IIL,vii,3137
Banneker,vii,3138
Parsley,vii,3139
THOMAS AND BEULAH,vii,3141
The Event,vii,3141
Straw Hat,vii,3142
The Zeppelin Factory,vii,3143
Dusting,vii,3144
Poem in Which | Refuse Contemplation,vii,3145
Missing,vii,3145
Rosa,vii,3146
Fox Trot Fridays,vii,3146
ALBERTO RIOS (b. 1952},vii,3147
Madre Sofia,vii,3148
Wet Camp,vii,3149
Taking Away the Name of a Nephew,vii,3150
Seniors,vii,3152
Refugio's Hair,vii,3152
AMY TAN (b. 1952),vii,3154
The Joy Luck Club,vii,3155
Two Kinds,vii,3155
SANDRA CISNEROS (b. 1954),vii,3163
Woman Hollering Creek,vii,3164
LOUISE ERDRICH (b. 1954),vii,3172
Dear John Wayne,vii,3173
1 Was Sleeping Where the Blick Oaks Move,vii,3174
Grief,vii,3175
Fleur,vii,3175
LORNA DEE CERVANTES (b. 1954},vii,3184
Uncle's First Rabbit,vii,3185
For Virginia Chavez,vii,3187
Washington,vii,3188
The Body as Braille,vii,3190
CATHY SONG (b. 1955),vii,3190
The White Porch,vii,3191
Beauty and Sadness,vii,3193
Lost Sister,vii,3194
Heaven,vii,3196
LI-YOUNG LEE (b. 1957),vii,3197
The Gift,vii,3198
Persimmons,vii,3199
Eating Alone,vii,3201
Eating Together,vii,3201
Mnemonic,vii,3202
This Room and Everything in It,vii,3203
"WRITING INA TIME OF TERROR: SEPTEMBER 11, 2001",vii,3205
From The 9/11 Commission Report,vii,3206
JOHN UPDIKE: [Comment] from The New Yorker,vii,3210
KIMIKO HAHN: Her Very Eyes:,vii,3212
PATTIANN ROGERS: Grief,vii,3213
BRENDAN GALVIN: Fragments #1 and #3,vii,3214
DAVID RAY: Six Months After,vii,3215
NAOMI SHIHAB NYE: Shoulders,vii,3216
Destruction,vii,3217
D. NURKSE: The Reunification Center,vii,3218
RICHARD POWERS (b. 1957),vii,3219
The Seventh Event,vii,3220
WILLIAM T. VOLLMANN (b. 1959),vii,3232
Red Hands,vii,3233
SHERMAN ALEXIE (b. 1966),vii,3239
At Navajo Monument Valley Tribal School,vii,3240
Pawn Shop,vii,3241
"Sister Fire, Brother Smoke",vii,3241
Tourists,vii,3241
3. Marilyn Monroe,vii,3241
The Exaggeration of Despair,vii,3242
Crow Testament,vii,3243
Do Not Go Gentle,vii,3245
JHUMPA LAHIRI (b. 1967),vii,3248
Sexy,vii,3249
